1981,1
1982,4
1983,1
1984,1
1985,25
1986,4
1987,5
1988,6
1989,5
1990,6
1991,2
1992,3
1993,3
1994,9
1995,5
1996,11
1997,10
1998,9
1999,22
2000,14
2001,8
2002,19
2003,10
2004,22
2005,13
2006,25
2007,13
2008,13
2009,12
2010,25
2011,15
2012,14
2013,12
2014,8
2015,13
2016,7
2017,9
2018,9
2019,9
,
,
,
,
,
Long description.,
,
No description available.,
,
Structure.,
,
Chart type: line chart.,
line with 39 data points.,
The chart has 1 X axis displaying Year.,
The chart has 1 Y axis displaying Documents.,
,
View as data table.,
,
Chart graphic.,
,
YearDocumentsDocuments by year19811984198719901993199619992002200520082011201420172020051015202530,
,
1981,
,
1Êdocuments in Scopus,
,
Click point to view document list,
