journal,N
Animal Behaviour,69
Behavioral And Brain Sciences,25
Behavioral Ecology,25
Ethology,19
Behavioral Ecology And Sociobiology,17
Behaviour,15
Proceedings Of The Royal Society B Biological Sciences,12
Journal Of Avian Biology,10
Evolution,9
Journal Of Field Ornithology,9
Plos One,8
Behavioural Processes,6
Hormones And Behavior,6
Auk,5
American Naturalist,4
Evolutionary Ecology,4
Molecular Ecology,4
Nature,4
Philosophical Transactions Of The Royal Society B Biological Sciences,4
Trends In Ecology And Evolution,4
Advances In The Study Of Behavior,3
Biological Reviews,3
Emu,3
Ibis,3
Journal Of Evolutionary Biology,3
Journal Of Ornithology,3
Proceedings Of The National Academy Of Sciences Of The United States Of America,3
Ringing And Migration,3
Acta Ethologica,2
Ardea,2
Australian Journal Of Zoology,2
Biological Journal Of The Linnean Society,2
Condor,2
Current Zoology,2
Ethology Ecology And Evolution,2
Folia Zoologica,2
Human Nature,2
Journal Of Ethology,2
Journal Of Experimental Biology,2
Journal Of Zoology,2
Oikos,2
Ornithological Science,2
Science,2
Waterbirds,2
Wildlife Research,2
ACM International Conference Proceeding Series,1
ATLA Alternatives To Laboratory Animals,1
Advances In Experimental Social Psychology,1
Aggressive Behavior,1
Animal Conservation,1
Annales Zoologici Fennici,1
Annual Review Of Ecology And Systematics,1
Anthropologischer Anzeiger,1
Applied Animal Behaviour Science,1
Applied Vegetation Science,1
Archiv Fur Tierzucht,1
Archives Animal Breeding,1
Ardeola,1
Avian Biology Research,1
BMC Evolutionary Biology,1
Behavioural Brain Research,1
Biocontrol Science And Technology,1
Bioessays,1
Biology Letters,1
Bioscience,1
Canadian Journal Of Forest Research,1
Canadian Journal Of Zoology,1
Chinese Journal Of Ecology,1
Ciba Foundation Symposia,1
Comptes Rendus De L Academie Des Sciences Serie III,1
Conservation Biology,1
Current Biology,1
Current Science,1
Ecology And Evolution,1
Ecology Letters,1
Entomologia Experimentalis Et Applicata,1
Ethology And Sociobiology,1
Etologia,1
Evolution And Human Behavior,1
Evolutionary Anthropology,1
Freshwater Biology,1
Frontiers In Zoology,1
Functional Ecology,1
Heredity,1
Herpetological Conservation And Biology,1
Herpetological Review,1
Integrative And Comparative Biology,1
Interface Focus,1
International Zoo Yearbook,1
Japanese Journal Of Ecology,1
Journal Of Applied Animal Welfare Science,1
Journal Of Evolutionary Psychology,1
Journal Of Experimental Psychology General,1
Journal Of Herpetology,1
Journal Of Personality,1
Journal Of The Experimental Analysis Of Behavior,1
Journal Of Wildlife Management,1
Laboratory Animals,1
Mammal Review,1
Naturwissenschaften,1
Netherlands Journal Of Zoology,1
Neuron,1
Ornis Hungarica,1
Perception,1
Poultry Science,1
Reproduction Fertility And Development,1
Sciences,1
Sexual Development,1
Teratology,1
Western North American Naturalist,1
Wilson Bulletin,1
Wilson Journal Of Ornithology,1
Zeitschrift Fur Tierpsychologie,1
Zoo Biology,1
Zoological Science,1
